country,points,price,region_1,winery,description
US,87.0,20.0,Monterey,Talbott,"Sweetly fruity and brisk in acidity, this Chardonnay shows savory pineapple, orange and mango flavors that taste like an upscale fruit-juice drink. Oak gives it a toasty, buttery note, while the alcohol brings warmth and full-bodiedness."
Italy,86.0,15.0,Puglia,Antica Enotria,"Organic farmer and winemaker Raffaele Di Tuccio delivers an easy 50-50 blend of Sangiovese and Montepulciano that bears simple aromas of cherry and wet earth. It shows a fresh, compact finish that would work nicely with tomato sauce and grated Parmigiano."
US,85.0,14.0,California,Pomelo,"A rounded mouthfeel and plenty of fruit flavors, like apple and honeydew, make this medium-bodied wine user-friendly. The acidity is soft, and the flavors drop off quickly on the finish."
US,89.0,75.0,Napa Valley,Maldonado,"This is a big, bold wine with a wild, slightly earthy and herbal character in the otherwise ripe blackberry and spicy pepper aromas and flavors. The texture is quite thick with tannins, and the body is full. It comes from the windy and cool Jameson Canyon corner of Napa Valley."
US,89.0,32.0,Columbia Valley (WA),L'Ecole No. 41,"Hailing from 11 different vineyards located across the Columbia Valley, this appealing, 100% varietal wine provides aromas of toasty spices, dried herbs, cocoa and jammy dark fruit. The cranberry, coffee and blackberry flavors are sweet and focused, backed by chewy, lightly dry tannins that need time to soften."
US,89.0,45.0,Napa Valley,Cosentino,"This Cab-driven Meritage offers a heavy presence of tobacco leaf on the nose and palate, as well as cedar, both built around smooth, refined tannins. Then well-integrated blackberry, tar and black cherry take over, with the finish awash in dried herbs."
US,93.0,30.0,Dundee Hills,Aubichon Cellars,"Distinctive, artisanal and sourced from a spectacular site, this was fermented in oak and barrel aged. The hock bottle indicates the Alsatian style, and the wine inside is both powerful and  sturdy, with supple, generous flavors of stone fruits running into light tropicality."
France,85.0,12.0,Vin de Pays d'Oc,Douce Nature,This winery's investment in organic viticulture seems to have paid off. Fresh apple mixes with cotton candy on the nose while more serious notes of apricot and pear take over in the mouth. Vanilla and caramel linger on the zingy finish.
France,87.0,20.0,Fronsac,ChÃ¢teau Tessendey,"This blend of hand-picked 85% Merlot and 15% Cabernet Franc is still tough with dark tannins and a black plum-skin texture. It has a lean side, with a severe character that seems likely to remain part of the wine. Drink from 2016. The d'Arfeuille family is now in its fifth century on Bordeaux's Right Bank."
US,95.0,70.0,Russian River Valley,Lynmar,"With fine acidity, grippy tannins and a tangy minerality, this Pinot offers complex flavors of sour-cherry candy, red currant, Dr. Pepper and spice that are laced with notes of dried herbs and white pepper. Turns dramatic on the midpalate, where the weight sinks in. Delicious now, this should develop over the next 6?? years."
US,84.0,10.0,California,Lost Angel,"Pizza, burgers, tacos and similar everyday fare will go well with this Merlot. It's smooth in cherries, currants and cola."
US,85.0,17.0,Virginia,Gray Ghost,"This Vidal Blanc has intriguing aromas of honeysuckle, peach and powdered ginger. On the palate it is reminiscent of a sugar cookie. This is an easy-drinking wine, light in body and complexity."
France,88.0,32.0,Mercurey,Domaines Devillard,"This blend from several vineyards is a soft, rounded wine. It has a good balance between acidity and ripe white and yellow fruits, shot through with acidity. A touch of toast adds spice to the mix. Drink from 2019."
France,90.0,20.0,FaugÃ¨res,Mas GabinÃ¨le,"A blend of 40% Syrah, 30% Grenache, 20% Carignan and 10% MourvÃ¨dre aged in French oak for 12 months, this wine exhibits great depth of flavors against a tight structure. Notes of garrigue herbs and peppery spice infuse the blackberry and rich plum fruit core. Sweet oak flavors linger on the long finish along with firm but fine tannins. Drink now??016."
France,86.0,25.0,Chignin,Domaine les Cantates,"A hint of earthiness and tannins add complexity to this fruity, bright wine full of red berry flavors. It's fragrant, delicious and refreshingly juicy, but not for aging."
US,85.0,10.0,California,Gnarly Head,"This light-bodied wine has honeydew melon and cucumber aromas, subtle fruit flavors and a smooth soft texture. It's easy to sip and is low in acidity."
Italy,86.0,18.0,Prosecco,Ca' dei Zago,"This small winery and family-run bed-and-breakfast takes an artisanal approach to winemaking with this sparkler, which offers a yellow fruit flavor, with accents of spice and bitter almond."
US,88.0,28.0,Arroyo Seco,Ventana,"Violets, lilacs, black pepper, blackberry paste and hot asphalt show on the nose of this 60% Grenache and 40% Syrah blend from the appellation in the heart of Monterey County. The palate is ripe and juicy with boysenberry and blackberry fruits, wrapped up in a tannic asphalt structure."
US,84.0,23.0,Sonoma County,Paradise Ridge,"This is described as a country-style wine because of its rugged tannins and angular, rough mouthfeel. The deeply plummy flavors are ripe, but very dry. The biggest problem may be the acids, which are very low. You long for more crispness and life, something to offset the fruitiness."
Italy,85.0,22.0,Irpinia,Agricola Bellaria,"Aromas of pressed acacia flower, nut and smoke lead the nose. The lively, lean palate doles out unripe Bartlett pear, yellow apple skin and a flinty mineral note alongside zesty acidity."
US,93.0,60.0,Willamette Valley,Shea,"Block 23 is all Pommard clone. At first the drying, tea-flavored tannins push the fruit down, but over many hours the wine expands with generous flavors of cherry fruit leather, candied orange peel, and polished tannins."
US,91.0,48.0,Sta. Rita Hills,Pali,"Shows the clean, citrus acid juiciness and silky texture of the appellation and is totally dry. But you'll find ripe cherry, currant, pomegranate, peppermint tea, mineral and smoky oak flavors that finish complex and satisfying. Brilliant and versatile at the table."
Spain,89.0,20.0,Cigales,Museum,"Ripe berry aromas are a bit raisiny, with vanilla and balsam wood notes. This Tempranillo feels blocky, saturated and tannic. Flavors of raisin, prune, blackberry and wood spice are full and bullish, while a boundary-pushing finish maintains a palpable raisiny quality. Drink through 2020."
US,85.0,7.0,California,CK Mondavi,"Very focused and pure fruit aromas and flavors give this medium-bodied wine a tasty and straightforward personality. The texture is relaxed due to soft acidity and tannins, and everything tastes fresh and clean."
Argentina,86.0,12.0,Mendoza,Septima,"Spicy and dry on the nose, with subdued, earthy aromas that suggest some hotness. The palate is a bit fiery and aggressive, with red berry and cassis flavors. Warm and spicy on the finish; edgy but good overall."
France,90.0,65.0,Chablis,Domaine Charly Nicolle,"With its upfront, ripe apple and pear flavors, this wine is immediately attractive. Behind the fruitiness, there is a firm, structured character of minerality and a steely edge, which makes this a Chardonnay to age for 3?? years."
Argentina,87.0,20.0,San Juan,Graffigna,"Smashed berry aromas are backed by earth and toasty oak notes. Fairly hard and tannic on the palate, this shows herbal plum flavors in front of a bold finish with dry tannins and a hint of wood spice."
US,86.0,40.0,Sonoma County,CaptÃ»re,"Tastes sweeter and fruitier than the 2009, which was dry, so if you like orange marmalade, pineapple tart and vanilla cookie sugariness in your Sauvignon Blancs, it's for you."
US,90.0,23.0,Sonoma County,Ferrari-Carano,"There are lots of buttered toast and popcorn flavors in this Chardonnay, but the underlying tropical fruits and pears are strong enough to stand up to them. It's a decadent wine to drink with richly sauced shellfish dishes."
US,83.0,10.0,Russian River Valley,Cameron Hughes,"Will satisfy Chardophiles with its oaky, creamy flavors and notes of pineapples, lemons and limes. Finishes dry and crisp in acidity."
US,92.0,55.0,Sonoma Coast,Davies,"Feral and wild, Spring Hill Vineyard lies in the Petaluma Gap where it is regularly enveloped in fog and cooling coastal winds. The result here is a soft, slightly stemmy, earthy wine with balanced layers of cherry, raspberry and vanilla."
Italy,86.0,12.0,Barbera d'Asti,Araldica,"Albera is a very well-valued Barbera d'Asti with chalky aromas of talc powder and schoolroom blackboard backed by cherries, blueberries and black fruit. Those polished mineral notes makes this is very interesting and unique expression of this native Italian grape."
Italy,88.0,24.0,Toscana,Olivi,"Predominantly Sangiovese, this opens with aromas of wet soil, black fruit, toast and baking spices. The palate delivers fleshy black cherry and prune accented with black pepper, tobacco and a hint of mocha alongside solid tannins. It's reached its ideal drinking window so enjoy now."
Italy,93.0,28.0,Barbera d'Asti,Braida di Giacomo Bologna,"Enticing scents of fragrant blue flower, forest berry and Alpine herb take center stage in this elegant and structured red. The vibrant palate delivers juicy red cherry, raspberry compote, star anise and tobacco hints alongside bright acidity and polished tannins. Impeccably balanced and delicious, it also offers incredible value. Drink through 2029."
Italy,87.0,15.0,Chianti Classico,Castello di Monastero,"Intense floral aromas that initially recall air freshener then burn off to reveal more subdued sensations of blue flower on this blend of 85% Sangiovese and 15% Merlot/Cabernet Sauvignon. The palate offers a core of black cherry accented with notes of cedar, white pepper and espresso alongside firm, drying tannins."
US,91.0,35.0,Humboldt County,Joseph Jewell,"Joseph Jewell's 2014s from remote Humboldt County are dazzling. The color off this wine is on the light side, and so are the raspberry, tea leaf and cinnamon flavors, but they make for a pleasant, harmonious combination. Medium body, vibrant acidity and firm but light tannins add to its appetizing character."
Italy,82.0,16.0,Colli Bolognesi,Gaggioli,"Thin and streamlined, this fresh sparkler offers mild aromas of peach and white flower. The wine is very simple and basic with a touch of sweetness on the close."
US,90.0,25.0,Columbia Valley (WA),Nine Hats,"Nine Hats is a recently-introduced second wine from Long Shadows. Clearly this is great juice, though it is, inevitably, a bit of a mishmash blend. Tannins are a little rough, but as a $25 red this has plenty of high-priced flavor."
US,87.0,26.0,Santa Lucia Highlands,Manzoni,"A big wine, ripe and explosive in fruit. Maybe too fruity, almost a bomb. Raspberries and cherries, sweetened with oak, dominate. Could use greater subtlety and restraint, not to mention grounding earthiness."
US,86.0,18.0,Paso Robles,Robert Hall,"Quite ripe in style, this wine packs a bevy of white flower aromas, from jasmine to tuberose, as well as fleshy yellow pears. There is solid sizzle in the glass once sipped, but the honeysuckle prominence, ripe peach and powerful orange-blossom flavors dominate."
US,84.0,45.0,Lake Michigan Shore,Mackinaw Trail,"Despite this being aged in new Russian oak, this Chardonnay is light bodied and oddly floral. Wild flower tones ride over underripe peach, with leesy undertones."
France,94.0,225.0,Saint-Ãmilion,ChÃ¢teau BÃ©lair-Monange,"This is a perfumed and generous wine with great tannins and a strong minerality. This is the first year that wines from the former ChÃ¢teau Magdelaine were also included in BÃ©lair as the two estates were amalgamated. It's dense, complex, balanced in character yet still with fruitiness of the vintage. Drink from 2024."
US,86.0,20.0,Paso Robles,EOS,"Fans of stickies may find pleasure in this bottling, but it is tremendously sweet and oily. Candied honeydew and kiwi scents meet with sweet juniper and pine on the nose. On the palate, it tastes squarely of golden honey. It's soft, unctuous and thick in consistency."
Italy,88.0,24.0,Toscana,Tenuta Sette Cieli,"Aromas of blueberry, baking spice and a whiff of leather lead the nose of this blend of 60% Cabernet Sauvignon and 40% Merlot. The firm palate offers black plum, raspberry and black pepper alongside smooth tannins. It finishes on a note of mouth-puckering sour cherry."
France,89.0,54.0,Saint-Joseph,Delas FrÃ¨res,"A bit stern and tannic, but this tightly wound mix of black olives and espresso should come around by 2012 or shortly thereafter. It's chewy in texture, but finishes with decent fruit, so give it the benefit of the doubt."
Italy,91.0,33.0,Lugana,Selva Capuzza,"Fragrant and fresh, this vibrant wine offers alluring scents field flower and white stone fruit scents. The creamy palate delivers white peach, honeydew melon and citrus flavors, brightened with crisp acidity."
Argentina,89.0,34.0,Agrelo,Lamadrid,"Saturated on the nose, this has aromas of pencil lead, coconut, vanilla and black fruit. It feels tannic, with pulsing acidity pushing raisin, prune, black plum, licorice and graphite flavors. The finish is oaky, resiny and chocolaty tasting."
US,91.0,25.0,Horse Heaven Hills,Coyote Canyon,"A blend of Syrah, Grenache and MourvÃ¨dre, it's an immediately appealing wine with notes of coffee, black olive, blueberry and smoked meat. There's a pleasing texture and richness running from head to tail with coffee and chocolate flavors that linger on the finish."
Italy,89.0,60.0,Fiano di Avellino,Feudi di San Gregorio,"Aromas of hazelnut nut, smoke and dried chamomile flower slowly come together. On the racy palate, a mineral vein underscores yellow apple, lime and dried sage while a bitter almond note wraps up the finish."
Argentina,84.0,18.0,Mendoza,Lagarde,"Not very fragrant, in fact it's barely a step above water in its neutrality. The palate is clean and solid, with sweet flavors of candied mango and melon. Plump and on the mild and bland side overall."
US,84.0,13.0,Sonoma Coast,Cline,"Light in color, this affordable white is floral on the nose, with just a touch of reduction and heady smoky oak. Simply executed, it offers generous flavors of apple, pear and peach."
France,88.0,17.0,Cahors,ChÃ¢teau EugÃ©nie,"Here is a ripe wine from a fine vintage in Cahors. With touches of spice as well as rich black-currant fruits, the wine is all about its fruitiness and acidity?ably assisted by tannins. The aftertaste just keeps the fruit coming."
US,84.0,13.0,Napa Valley,Napa Creek,"So sweet in pineapples and oranges despite a crisp spine of acidity, it quickly palls, making it hard to take a second sip. But lots of Chardophiles will like it."
US,94.0,100.0,Sonoma Mountain,Paul Hobbs,"Made in the popular modern style, this is a particular success. It shows ultraconcentrated orange, apricot, green apple and peach flavors that are wrapped into a creamy texture, and a strong coating of oak brings layers of butterscotch, buttered toast and vanilla. This richness would be excessive without the minerality and acidity that Sonoma Mountain brings. Don't drink this too cold."
US,89.0,36.0,Mendocino County,Artezin,"Zin specialist Artezin gets into the Petite Sirah game with this enormously ripe, fruity wine. Shows a modern, cult interpretation of the variety, with blackberry jam, licorice, candied violet, mocha and pepper spice flavors wrapped into huge, but very finely ground, tannins."
France,91.0,72.0,Chassagne-Montrachet,Domaine Vincent Girardin,"This is a very mineral driven wine?the ripe fruit is cut with acidity, green fruits and herbs. Textured and ripe, its freshness is a counterpoint to the full fruit flavors."
France,91.0,75.0,Minervois La Liviniere,GÃ©rard Bertrand,"The heady and concentrated bouquet of this wine leads with forward scents of blackberry liquor, black plum, bramble, cocoa nib and crushed violet. Medium weight and creamy on the palate, the texture is like crushed velvet and the flavors recall black-fruit preserves, mulled blackberries, black tea and licorice root. Drink now??018."
US,98.0,140.0,Columbia Valley (WA),Charles Smith,"An Amaro-like mix of bitters and herbs; this is exceptionally dense and dark. The fruit is a grace note; the big flavors come from herb, earth, rock, barrel and more. Licorice, baking spices, smoke, black cherry, Bourbon barrel, and on it goes. Huge and dense and seemingly endless."
US,82.0,11.0,California,Spin the Bottle,"Good red wine in a light, herbaceous style. Tastes fresh and clean as if it was made with good quality standards. Lacks much Cabernet character, however, but adds sufficient cherry and berry flavors to make it complete."
US,89.0,36.0,Willamette Valley,Erath,"Very soft and smooth?like a Michel Rolland version of a Pinot Noir. The berry/cherry flavors are velvety and clean, the tannins supple, the palate seamless. The tang to the finish, showing some unintegrated acids, is the only jarring note."
US,92.0,49.0,Sonoma Coast,MacPhail,"Fans of ripe, sweet fruit will love this Pinot. It's huge in juicy raspberry and cherry, with spicy hints of Dr. Pepper and red licorice. It will be fun to see how the wine evolves over the next 6?? years."
Spain,92.0,50.0,Rioja,Casado Morales,"This is textbook Rioja gran reserva from a ripe, generous year. Aromas of cassis and prune blend with toasty, creamy oak. Fresh acidity is a lifesaver, because the tannins and oak level are up there. Flavors of tobacco, currant, vanilla and red plum end with a reprise of crisp acids and oak. This will last another 20 years before any fading comes into play."
US,94.0,125.0,Napa Valley,Sojourn,"A 100% Cabernet Sauvignon from a number of hillside and valley floor vineyards, including Beckstoffer Georges III, this still-developing wine is delicately layered in soft-grained tannins, a dusty, graphite spark around the mellow red fruit and anise. With a lingering finish, it ends with a touch of dust. Cellar through 2020."
US,89.0,14.0,Mendocino,Husch,"A tangy grapefruit flavor and refreshing acidity make this a good before-dinner quaff and an apt pairing with seafood. Herbaceous and citrus aromas carry through to the flavors, medium body and good balance."
US,92.0,50.0,Willamette Valley,Ken Wright,"The 2008 Pinots from Ken Wright display their individual terroirs quite succinctly, with little evidence of the (roughly) 30% new oak they receive. The Abbott Claim has a bit more of a chocolaty flavor, with full, spicy cherry fruit at its core. In fact there is so much fruit, spicy and candied, that it is a bit like fruitcake, in a good way."
France,83.0,11.0,Bergerac,Yvon Mau,"Simple, clean, fresh, raspberry-flavored wine, with light acidity. There is an edge of apple and caramel, the aftertaste just off dry."
France,85.0,9.0,Vin de Pays d'Oc,Delas FrÃ¨res,"Ripe black plum and berry dominate the nose and mouth on this Merlot, with appropriate accents of coffee granules and black pepper to spice things up. Lightweight but round with a medium-length finish."
Spain,87.0,15.0,Bierzo,Cuatro Pasos,"Gritty leathery plum aromas are intense but also low on ripeness and charm. Par for 2013, which was quite cool and rainy, this wine feels racy, with abrasive tannins. Short standard black plum and berry flavors finish with controlled toasty oak notes."
France,86.0,40.0,Champagne,DumÃ©nil,"This soft wine shows a relatively high dosage, giving a ripe strawberry-fruit character. The acidity and fruit are gentle, hinting at a tannic edge from red wine in the blend."
US,89.0,42.0,Dundee Hills,Panther Creek,"Perhaps the most forward and appealing wine in the lineup, the Vista Hills Pinot Noir brings round flavors of chocolate-covered cherries, hints at pepper and herb, then finished up with lots more chocolate. Though not as detailed as some of the other Panther Creek single-vineyard offerings, it has pleasure written all over it."
France,89.0,18.0,Alsace,Jean-Marc Bernhard,"Lovely pure notes of red crunchy cherry dominate the nose. They are also present on the slender, almost slight, palate that is completely dry but full of the charm of the fruit. Ample freshness brightens the entire wine which is well-suited to being chilled. It's a friendly easy charming red."
US,84.0,15.0,Lodi,Shenanigans,"Starts off fine, with rich blackberry and black currant aromas and flavors. But once you take a sip, the wine turns sharp and unbalanced. Still, it's a perfectly decent sipper for everyday fare."
Argentina,87.0,19.0,Uco Valley,Salentein,"Honest Pinot Noir aromas of spicy, leafy cherry and plum are good but common. This feels just about right, albeit a touch full and creamy. Flavors of cola, cherry and chocolate are ripe, moderately oaked and finish creamy, with flavors of vanilla, savory spices and rooty sweetness."
US,85.0,22.0,Monticello,Jefferson Vineyards,"High-pitched, medium-intense notes of toasted wheat, black cherry, maduro and sweaty leather define the nose and palate. This is a medium-bodied wine, and it offers powdery tannins and juicy acids that support the flavors. Cherry and cocoa notes linger on the finish."
France,88.0,25.0,Alsace,Kuentz-Bas,"Rather closed on the nose, this shows plump, sweet pear fruit countered by sprightly, spiky, lemony acidity. This is lively and fruity and easy to drink; enjoy while flavors are at their peak."
Spain,88.0,20.0,Rioja,MarquÃ©s de la Concordia,"Smoky aromas of tree bark and tobacco blend with dried, earthy cherry and plum scents. This feels a bit raw and pulling, while dried cherry, plum and baking-spice flavors finish good but a touch hot and scratchy. Drink now."
US,86.0,35.0,Santa Barbara County,Wild Horse,"This drinkable Pinot does have a tannic toughness. On the palate, there are good notes of cherry and cola, but hints of green unripeness compromise its future. Give it a good decant and drink now."
France,85.0,17.0,Bordeaux Blanc,ChÃ¢teau Tanesse,"Crisply fruity, herbaceous and citric, with lemon zest and fine pineapple. The wine's acidity should soften in a year."
US,85.0,17.0,Sonoma Coast,Cline,"Excessive acidity gives this wine a sour bite, while the flavors, of cherries and cranberries, are tart. Significant new oak helps to provide spicy richness. Drink now."
US,88.0,22.0,Applegate Valley,Cowhorn,"At just 12.6% alcohol, this might seem underripe for warm climate varieties, but it tastes perfectly full and nicely balanced. It's tart and lemony, to be sure, and in fact makes a fine accompaniment to fresh-shucked oysters."
Italy,93.0,20.0,Montefalco Rosso,Milziade Antano,"A blend of 70% Sangiovese, 15% Sagrantino and 15% Merlot, this bold wine conveys earthy aromas of blackberry, leather, tilled soil and a balsamic note. The ripe, creamy palate delivers juicy black plum, cassis, savory herb and baking spice balanced by smooth, velvety tannins. The lingering finish closes on a note of ground black pepper."
US,90.0,34.0,Yakima Valley,Full Pull & Friends,"Raspberry, licorice and dark-fruit aromas lead to plump, fleshy fruit flavors. It's an unabashedly warm-vintage wine that brings a lot of drinking pleasure."
Italy,92.0,42.0,Alto Adige Terlano,Cantina Terlano,"Full-bodied and loaded with finesse, this wine opens with multifaceted aromas of ripe orchard fruit, candied citrus zest, pressed flower and mineral tones. The focused, elegant palate offers ripe apple, pear, tangy nectarine, lemon drop and flint. While enjoyable now, this will drink well through 2023."
Argentina,86.0,12.0,Mendoza,Santa Julia,"Earthy and a bit foresty on the nose, with a leather accent to the berry aromas. Full and reasonably sound across the palate, which offers baked berry and coffee flavors in front of a modest, leathery finish."
France,85.0,13.0,Bordeaux,Exem,"The wine is soft with a toasty spicy character. That balances with the ripe berry fruits that are just on the stalky side of smooth. Drink this wine, with its fruity 70% Merlot, now."
US,91.0,35.0,Walla Walla Valley (WA),Eternal,"Vibrant aromas of white flowers, ripe peach, fresh herb, cocoa butter and hard candy lead to nuanced, well-balanced fruit flavors that show just a touch of lees influence. It offers an exquisite sense of balance and depth along with an extended finish."
US,84.0,24.0,Monterey County,Cru,"Not much going on beyond lots of oak and crisp, Central Coast acidity. You'll find watered down orange and tropical fruits."
Spain,85.0,30.0,Priorat,Marco Abella,"From the starting gun, this is a raisiny, candied wine with complexity issues. The palate is tannic and not the least bit varied; basically it just sits there. Flavors of raisin and red licorice finish sweet, medicinal and with a note of green peppercorn. This is flavorful but blocky and strange."
US,94.0,125.0,Stags Leap District,Pine Ridge,"From a steep, densely planted estate vineyard, this is a lilting regional example of well-integrated oak in support of black raspberry, licorice and chalky clove. Silky tannins mark it most, providing a balance to the fruit and a pronounced, entirely delectable bite of black pepper on the finish."
France,88.0,30.0,CrÃ©mant d'Alsace,Dopff & Irion,"A mature, serious wine, showing toasty flavors that are rounding out the fruit. A definite food wine, its richness tempered with a bite of acidity and delicious final crispness."
France,89.0,22.0,MÃ©doc,ChÃ¢teau Greysac,"On the austere side, with a firm and dry tannic structure, this represents the classic style of Bordeaux. It has black currant fruit and a mineral edge, with a severe structure that demands to be aged."
Italy,94.0,50.0,Barbaresco,Castello di Neive,"Structured and loaded with finesse, this stunning red opens with scents of perfumed berry, rose petal, baking spice and a balsamic note. The focused palate delivers juicy black cherry, ground pepper, anise and tobacco alongside firm but refined tannins. It has great length, closing on a mineral note. Drink 2018??028."
Italy,83.0,19.0,Puglia,Cefalicchio,"A garnet color and amber highlights mark the appearance of this biodynamic wine. It presents slightly oxidized aromas of butterscotch and apple, backed by raspberry and strawberry tones."
US,89.0,15.0,Finger Lakes,Standing Stone,"Bristles of lemon-lime acidity lend energy and vibe to this unusually refreshing GewÃ¼rztraminer. Perfumed with ripe tropical fruit and voluptuous on the palate, it maintains varietal typicity, but has an irresistible zest that's worth seeking out."
US,87.0,22.0,Chehalem Mountains,Anam Cara,"At 12g/L residual sugar, this just barely qualifies as dry. Fruit flavors suggest lemon curd and green pineapple, and there's an interesting savory note. But flatness across the palate keeps the score from going higher."
US,93.0,49.0,Eola-Amity Hills,MacPhail,"A highly-regarded California producer of Pinot Noir dips its toe into the Oregon waters with this inaugural vintage from the Roserock Vineyard in the Eola-Amity Hills AVA. It's impressive, elegant and sensual, with the subtle complexity for which the grape is famous. Rose petals, red fruits, light spices, a compelling texture and mouthfeel, and overall elegance all point to a wine with a decade or more of life ahead."
US,90.0,40.0,Atlas Peak,Hawkstone,"Merits its high score by virtue of the concentrated black currant flavors that are so intense and pure, they're the essence of Cabernet Sauvignon. Yet the wine is also very tannic, with a lockdown astringency that leaves the mouth all puckery after you swallow. Give it 5?? years in a good cellar."
Australia,91.0,17.0,South Australia,Yalumba,"On top of being made from organically grown grapes, this wine is vegan friendly. Of course, that means nothing unless the wine is good. Thankfully, this wine is excellent. Apricot, honey and ginger notes mingle easily on the palate. Drink this full-bodied, slightly open-knit wine over through 2017."
France,88.0,45.0,ChÃ¢teauneuf-du-Pape,Clos de L'Oratoire des Papes,"Modest pear, pineapple and lemon oil scents mark the nose, while the palate suggests marshmallow, pear and melon. This is full bodied and slightly honeyed in style, with a long, plush finish redolent of ripe citrus. Drink now."
US,86.0,15.0,Seneca Lake,Four Degrees of Riesling,"Smoke and mineral notes lend a prominent savory tone to this wine, contrasting a palate that's sunny and sweet with pressed apple and pear flavors. It's straightforward in style, but refreshing with bright lemon acidity and a lasting iced-tea sweetness."
US,87.0,54.0,Napa Valley,Snowden,"Super-dark in color, this extracted wine offers a reductive note on the nose, followed by a rustic tinge of hay and brick. Intensely flavored and oaked, it finishes unexpectedly herbal and dry."
Italy,85.0,18.0,San Marino,Consorzio Vini Tipici di San Marino,"Here is a fresh and vibrant Biancale-based wine (with a small percentage of Chardonnay for structure and smoothness) that offers aromas of citrus, peach and green fruit. Try it with appetizers or finger foods."
US,88.0,28.0,Russian River Valley,J Vineyards & Winery,"Full-bodied ripeness and creamy oak combine for a forceful white wine, rich and textured, made from a selection of two vineyard sites, including Bow Tie, a vineyard-designate. Toasty spice adds complexity before the wine finishes in caramel."
US,87.0,32.0,Columbia Valley (WA),Basalt,Forward fruit flavors of blackberry and plum slide quickly through the mid-palate and on into a soft finish. A faint wash of leather and earth wraps it up.
France,86.0,12.0,Bordeaux Blanc,ChÃ¢teau de Cranne,"Bright and fruity, this wine has all the richness of whites in this vintage. It has yellow fruits, citrus and a warm, rounded texture. There is just a touch of herbal acidity at the end to keep it fresh."
France,85.0,23.0,CrÃ©mant d'Alsace,Charles Sparr,"Pure Pinot Noir has produced a full, fruity sparkling wine. It is lightly crisp, fresh with wild strawberries and acidity. The aftertaste, soft and rounded, has a satisfying creamy character."
Spain,88.0,37.0,Terra Alta,EdetÃ ria,"Waxy, minerally aromas include whiffs of butterscotch, peach pit and dusty apple. This is big and heavy on the palate, with just enough malic acid to keep it upright. Briny flavors of mustard and pickle finish with weight and the variety's patented lanolin character."
Spain,87.0,17.0,Cava,Vallformosa,"Apple and orange aromas are light and slightly toasted. The palate is easygoing. Flavors of orange and nectarine are fresh and appropriate for Cava. The finish is solid, fresh and alert."
Italy,84.0,32.0,Beneventano,De Lucia,"Thin and low in aromatic impact, this luminous white blend of Falanghina, Greco and Fiano delivers measured tones of exotic fruit, pear and honeysuckle. The wine has a broad, fat feel in the mouth and ends with flavors that recall mature nectarine and apricot."
Italy,88.0,43.0,Barolo,Giribaldi,"Toast, espresso and mocha aromas lead the nose while the bracing palate offers raw red berry, anise, coffee and a hint of chocolate. Grainy tannins provide firm support but leave an astringent finish. Wait another few years for the tannins to soften a bit then drink up."
US,86.0,15.0,Columbia Valley (WA),Kana,"Kana's Workingman's Red has turned into a southern RhÃ´ne style blend of six grapes, the only outlier being a splash of Tempranillo. Toasty, round and easy-drinking, it's a good, all-purpose barbecue red, with a smoky, espresso-scented finish."
France,88.0,18.0,Saint-VÃ©ran,Joseph Drouhin,"Warm and ripe, this has fine honey and yellow fruit flavors. It has well-integrated acidity, with a touch of apple that lends a crisp finish."
Italy,87.0,22.0,Campania,Di Meo,"Enticing aromas of pear, white flower, exotic fruit and a whiff of Mediterranean herb lift out of the glass. On the bright palate, a light mineral vein underscores green apple, pineapple and banana while fresh acidity adds zest."
France,83.0,12.0,Bordeaux,Les Vignerons RÃ©unis de MonsÃ©gur,"This fresh wine has plenty of acidity as well as some firm tannins. It is still young, waiting to fill out with riper fruit flavors. The aftertaste just repeats the acidity."
US,90.0,27.0,Finger Lakes,Damiani,"Tangy black cherry and cassis flavors are punchy and penetrating in this Bordeaux-style blend (with an emphasis on Cabernet Sauvignon). It's richly, densely textured, but uplifted by a strike of cranberry acidity and granite. It's a polished wine with a long, meandering finish."
France,91.0,24.0,Alsace,Domaine Seilly,"This full-bodied wine with its spice and creamed pear fruit flavors, feels rich and smooth. Structured and textured, the balanced acidity shows through well, giving a warm, off-dry aftertaste."
France,88.0,25.0,Saumur-Champigny,Domaine de la Perruche,"A smooth and ripe wine that is rich in fruit as well as tannins. It has red berry flavors, a direct line in acidity and a texture that brings out both minerality from the limestone soil and dark fruit tannins. Drink from 2014."
US,90.0,18.0,Columbia Valley (WA),GÃ¥rd,"Aromas of beeswax and lemon oil, the flavors following along with tangerine, orange and peach. Very dry, with exceptional concentration of fruit, and well-integrated flavors of cracker and grain. This was barrel fermented, and delivers a long, concentrated finish."
US,91.0,42.0,Columbia Valley (WA),Dusted Valley,"Wallywood is a RhÃ´ne-style red, with two thirds Syrah, while Grenache, MourvÃ¨dre and Petite Sirah fill in the rest. It surprises with its elegance, despite hefty alcohol and tannic components. It's a very well-done blend, melding together flavors of plum, berry, herb, stem, earth and iron."
France,89.0,16.0,Bordeaux SupÃ©rieur,ChÃ¢teau Cadillac,"This top cuvÃ©e from ChÃ¢teau Cadillac has great fresh black currant fruits, dark plum skins and sweet tannins. It is also very obviously aged in wood, and this element needs to calm down. Wait another year, or decant now."
